Language,Voice type,Language code,Voice name,SSML Gender
Afrikaans (South Africa),Standard,af-ZA,af-ZA-Standard-A,FEMALE
Arabic,Standard,ar-XA,ar-XA-Standard-A,FEMALE
Arabic,Standard,ar-XA,ar-XA-Standard-B,MALE
Arabic,Standard,ar-XA,ar-XA-Standard-C,MALE
Arabic,Standard,ar-XA,ar-XA-Standard-D,FEMALE
Arabic,WaveNet,ar-XA,ar-XA-Wavenet-A,FEMALE
Arabic,WaveNet,ar-XA,ar-XA-Wavenet-B,MALE
Arabic,WaveNet,ar-XA,ar-XA-Wavenet-C,MALE
Arabic,WaveNet,ar-XA,ar-XA-Wavenet-D,FEMALE
Basque (Spain),Standard,eu-ES,eu-ES-Standard-A,FEMALE
Bengali (India),Standard,bn-IN,bn-IN-Standard-A,FEMALE
Bengali (India),Standard,bn-IN,bn-IN-Standard-B,MALE
Bengali (India),WaveNet,bn-IN,bn-IN-Wavenet-A,FEMALE
Bengali (India),WaveNet,bn-IN,bn-IN-Wavenet-B,MALE
Bulgarian (Bulgaria),Standard,bg-BG,bg-BG-Standard-A,FEMALE
Catalan (Spain),Standard,ca-ES,ca-ES-Standard-A,FEMALE
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-A,FEMALE
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-B,MALE
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-C,FEMALE
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-D,MALE
Czech (Czech Republic),Standard,cs-CZ,cs-CZ-Standard-A,FEMALE
Czech (Czech Republic),WaveNet,cs-CZ,cs-CZ-Wavenet-A,FEMALE
Danish (Denmark),Neural2,da-DK,da-DK-Neural2-D,FEMALE
Danish (Denmark),Standard,da-DK,da-DK-Standard-A,FEMALE
Danish (Denmark),Standard,da-DK,da-DK-Standard-C,MALE
Danish (Denmark),Standard,da-DK,da-DK-Standard-D,FEMALE
Danish (Denmark),Standard,da-DK,da-DK-Standard-E,FEMALE
Danish (Denmark),WaveNet,da-DK,da-DK-Wavenet-A,FEMALE
Danish (Denmark),WaveNet,da-DK,da-DK-Wavenet-C,MALE
Danish (Denmark),WaveNet,da-DK,da-DK-Wavenet-D,FEMALE
Danish (Denmark),WaveNet,da-DK,da-DK-Wavenet-E,FEMALE
Dutch (Belgium),Standard,nl-BE,nl-BE-Standard-A,FEMALE
Dutch (Belgium),Standard,nl-BE,nl-BE-Standard-B,MALE
Dutch (Belgium),WaveNet,nl-BE,nl-BE-Wavenet-A,FEMALE
Dutch (Belgium),WaveNet,nl-BE,nl-BE-Wavenet-B,MALE
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-A,FEMALE
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-B,MALE
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-C,MALE
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-D,FEMALE
Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-E,FEMALE
